Vendor,Product,Visible,Item Unit,Charge Unit,Package Name,# of Items,Purchase Price,Retail Price,Margin
Lonesome Whistle,Up & At 'Em Pancake Mix,Y,ea,ea,1.6 lbs,1,5.33,7.25,26
Camas Country Mill,Three Sisters Porridge,Y,ea,ea,3 lbs,1,5.19,7,26
Deck Family Farm,Fresh Pork Chaurice Sausage,Y,pk,pk,pk,1,12.6,17,26
Radiant Coffee Roasters,Vietnam Lotus - Light Roast Coffee,Y,ea,ea,16 oz,1,11,15,27
Camas Country Mill,Organic Flax Seeds,Y,ea,ea,2.5 lbs,1,4.38,6,27
Radiant Coffee Roasters,Radiant Breakfast Blend - Light Roast,Y,ea,ea,16 oz,1,11,15,27
Radiant Coffee Roasters,Radiant Decaf Columbia Coffee,Y,ea,ea,12 oz,1,11,15,27
Radiant Coffee Roasters,Radiant Midnight Blend - Dark Roast,Y,ea,ea,16 oz,1,11,15,27
Grazier's Garden,Red Norland Potatoes,Y,pound,pound,ea,1,2,2.75,27
Red Tail Growers,Leeks,Y,pound,pound,pound,1,1.75,2.41,27
Elegant Elephant Baking Co.,Gluten Free Blueberry Scone,Y,ea,ea,each,1,2.9,4,28
Sweet Creek,Blueberry Fruit Spread,Y,ea,ea,10 oz,1,3.8,5.25,28
Grazier's Garden,Fresh Thyme,Y,bu,bu,each,1,2.5,3.5,29
Red Tail Growers,Yacon Tuber,Y,lb,lb,1 lb,1,2.5,3.5,29
Elegant Elephant Baking Co.,Gluten Free Brownie Bite with Chocolate Chips,Y,ea,ea,each,1,2.5,3.5,29
Elegant Elephant Baking Co.,Gluten Free Cinnamon Roll Pan,Y,ea,ea,"6""",1,6,8.5,29
Elegant Elephant Baking Co.,Gluten Free Half Almond Loaf Sliced,Y,ea,ea,each,1,5,7,29
Elegant Elephant Baking Co.,Gluten Free Mini Banana Bread Loaf,Y,ea,ea,each,1,5,7,29
Elegant Elephant Baking Co.,Gluten Free Apple Pie,Y,ea,ea,"6""",1,7.5,10.5,29
Grazier's Garden,"Radish, Purple Daikon",Y,pound,pound,pound,1,2.5,3.5,29
Grazier's Garden,Frozen Strawberries,Y,bag,bag,~1.2 lbs,1,7,10,30
"Creamy Cow, LLC",Raw Whey,Y,ea,ea,1 quart,1,7,10.2,31
Elegant Elephant Baking Co.,Pizza Dough,Y,ea,ea,each,1,4.75,6.89,31
Grazier's Garden,Russet potatoes,Y,pound,pound,pound,1,2,2.88,31
Massimo's Fruit,Quince,Y,ea,ea,each,1,1,1.5,33
Small is Beautiful Farm,"Mixed Apple ""Seconds""",Y,ea,ea,each,1,0.5,0.75,33
Small is Beautiful Farm,Mixed Apples,Y,ea,ea,each,1,1,1.5,33
Grazier's Garden,Celeriac,Y,ea,ea,lb,1,3,4.5,33
Grazier's Garden,Green Curly Kale,Y,bu,bu,each,1,2,3,33
Grazier's Garden,Baby Bok Choi,Y,bu,bu,each,1,2,3,33
Elegant Elephant Baking Co.,Gluten Free Banana Cream Pie,Y,ea,ea,"6""",1,8,12,33
Elegant Elephant Baking Co.,Gluten Free Chocolate Cream Pie,Y,ea,ea,"6""",1,8,12,33
Elegant Elephant Baking Co.,Chocolate Donut,Y,ea,ea,each,1,2.35,3.5,33
My Brothers Farm,Roasted Hazelnuts,Y,ea,ea,4 oz bag,1,4.5,6.75,33
Grazier's Garden,Pinto Gold Potatoes,Y,pound,pound,pound,1,2,3,33
Massimo's Fruit,Persimmon,Y,ea,ea,ea,1,1,1.5,33
Grazier's Garden,Fresh Sage,Y,bu,bu,each,1,2.29,3.5,35
Elegant Elephant Baking Co.,Larry and Son's Bagel's 4 pk- Plain,Y,ea,ea,each,1,7.75,12,35
Elegant Elephant Baking Co.,Larry and Son's Bagels 4 pack- Cinnamon Rasin,Y,ea,ea,each,1,7.75,12,35
Elegant Elephant Baking Co.,Croutons,Y,ea,ea,each,1,5.25,8.4,38
Elegant Elephant Baking Co.,Seven Layer Cookie,Y,ea,ea,each,1,2.5,4,38
Elegant Elephant Baking Co.,Box of 5 Cupcakes,Y,ea,ea,each,1,6,10,40
Grazier's Garden,Watermelon Radish,Y,lb,lb,Each,1,2.5,4.5,44
Red Tail Growers,Chioggia Beets,Y,bu,bu,1 Lb,1,1,2,50
Red Tail Growers,Red Beets,Y,bu,bu,1 Lb,1,1,2,50
